WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,CLE,CLE,3,0,0,3,3,0,0,0,3,0,0,3,3,0,0,0
2,KC,PIT,5,0,1,3,4,1,1,0,6,0,0,6,6,0,0,0
3,TB,TB,4,1,0,3,4,0,0,0,3,2,0,3,3,0,0,0
4,BAL,PIT,1,2,0,0,0,1,1,0,2,4,0,2,2,0,0,0
5,ATL,PIT,6,0,0,5,6,0,0,0,2,1,0,2,2,0,0,0
6,CIN,CIN,3,2,0,2,2,1,1,0,3,0,0,3,3,0,0,0
8,CLE,PIT,4,1,1,4,4,0,0,0,2,2,0,0,1,0,1,0
9,BAL,BAL,3,1,0,2,3,0,0,0,1,3,0,1,1,0,0,0
10,CAR,PIT,7,1,0,7,7,0,0,0,3,0,0,3,3,0,0,0
11,JAX,JAX,1,3,0,1,1,0,0,0,3,0,0,2,2,0,1,0
12,DEN,DEN,2,1,0,2,2,0,0,0,3,1,0,3,3,0,0,0
13,LAC,PIT,4,1,0,3,4,0,0,0,4,1,0,2,2,2,2,0
14,OAK,OAK,3,0,0,3,3,0,0,0,3,1,0,3,3,0,0,0
15,NE,PIT,2,1,0,2,2,0,0,0,1,1,0,1,1,0,0,0
16,NO,NO,3,2,0,2,2,1,1,0,4,1,0,4,4,0,0,0
17,CIN,PIT,1,3,0,1,1,0,0,0,1,2,0,1,1,0,0,0
