WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,SEA,SEA,2,2,0,2,2,0,0,0,3,0,0,3,3,0,0,0
2,SF,CIN,2,1,0,2,2,0,0,0,5,2,0,5,5,0,0,0
3,BUF,BUF,2,1,0,2,2,0,0,0,2,2,0,1,1,1,1,0
4,PIT,PIT,0,1,0,0,0,0,0,0,3,2,0,3,3,0,0,0
5,ARI,CIN,2,3,0,2,2,0,0,0,2,4,0,2,2,0,0,0
6,BAL,BAL,2,1,0,2,2,0,0,0,2,3,0,2,2,0,0,0
7,JAX,CIN,2,1,0,2,2,0,0,0,2,4,0,1,1,1,1,0
8,LAR,LON,1,1,0,1,1,0,0,0,3,1,0,3,3,0,0,0
10,BAL,CIN,1,2,0,1,1,0,0,0,7,0,0,7,7,0,0,0
11,CIN,CIN,1,1,0,1,1,0,0,0,2,1,0,2,2,0,0,0
