WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,PIT,NE,3,4,0,3,3,0,0,0,0,1,0,0,0,0,0,0
2,MIA,MIA,6,1,0,4,6,0,0,0,0,0,0,0,0,0,0,0
3,NYJ,NE,4,1,0,3,4,0,0,0,2,0,0,2,2,0,0,0
4,BUF,BUF,2,1,0,1,2,0,0,0,1,1,0,1,1,0,0,0
5,WAS,WAS,4,2,0,3,4,0,0,0,1,0,0,1,1,0,0,0
6,NYG,NE,5,0,0,5,5,0,0,0,2,0,0,2,2,0,0,0
7,NYJ,NYJ,4,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0
8,CLE,NE,3,2,0,3,3,0,0,0,1,2,0,1,1,0,0,0
9,BAL,BAL,2,2,0,2,2,0,0,0,5,1,0,4,5,0,0,0
11,PHI,PHI,1,3,0,0,0,0,1,0,1,1,0,1,1,0,0,0
